City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
215,ontario,34.0633,-117.6509,22.98,45,0,6.71,US,1680476039
216,beloha,-25.1667,45.05,21.04,91,47,3.96,MG,1680475834
217,crucea,44.5333,28.2333,8.05,82,100,1.62,RO,1680476039
218,dezful,32.3811,48.4058,13.88,41,0,1.27,IR,1680476039
219,ketchikan,55.3422,-131.6461,7.26,61,40,5.66,US,1680476039
220,arlit,18.7369,7.3853,24.49,5,100,4.51,NE,1680475851
221,kumbo,6.2,10.6667,18.68,65,92,0.93,CM,1680476040
222,nanchang,28.6833,115.8833,19.64,92,100,3.32,CN,1680476040
223,okhotsk,59.3833,143.3,-11.27,73,23,8.25,RU,1680476040
224,saldanha,-33.0117,17.9442,18.03,92,67,4.3,ZA,1680476040
225,ponta do sol,32.6667,-17.1,19.28,82,0,1.44,PT,1680476040
226,tezu,27.9167,96.1667,15.73,93,100,2.05,IN,1680476040
227,iona,26.5204,-81.964,29.03,75,0,6.69,US,1680476040
228,matadi,-5.8167,13.45,25.2,89,60,1.08,CD,1680476040
229,faanui,-16.4833,-151.75,28.27,69,100,3.15,PF,1680475514
230,bathsheba,13.2167,-59.5167,26.34,69,40,8.75,BB,1680476040
231,ustye,59.6304,39.736,1.79,100,100,1.16,RU,1680476041
232,kodiak,57.79,-152.4072,2.73,48,0,5.66,US,1680476038
233,asfi,32.2994,-9.2372,15.42,88,0,9.62,MA,1680475521
234,northam,51.0333,-4.2167,7.92,85,100,2.63,GB,1680476041
235,pudozh,61.8099,36.5345,-2.23,86,100,5.7,RU,1680476041
236,liverpool,53.4106,-2.9779,7.01,75,20,4.63,GB,1680475791
237,saint-joseph,-21.3667,55.6167,24.21,81,99,3.3,RE,1680476041
238,baker city,44.7749,-117.8344,4.22,88,40,5.14,US,1680476041
239,ambulu,-8.345,113.6058,23.16,92,100,1.23,ID,1680475545
240,kenai,60.5544,-151.2583,3.05,55,0,5.66,US,1680476041
241,beyneu,45.3167,55.2,7.35,64,26,2.79,KZ,1680476041
242,tashtyp,52.7939,89.8983,-10.99,86,88,1.39,RU,1680476041
243,komsomolskiy,40.4272,71.7189,13.4,71,97,3.09,UZ,1680476042
244,strathpeffer,57.588,-4.5382,7.39,92,100,0.67,GB,1680476042
245,qiqihar,47.3408,123.9672,9.22,59,100,8.36,CN,1680476042
246,laa,8.0797,-10.7732,23.95,92,26,1.57,SL,1680476042
247,constitucion,-35.3333,-72.4167,14.93,71,9,6.44,CL,1680476043
248,barra patuca,15.8,-84.2833,26.75,71,1,4.44,HN,1680476043
249,marawi,7.9986,124.2928,21.39,92,78,1.13,PH,1680475523
250,novobelokatay,55.7062,58.9549,2.37,65,8,1.35,RU,1680476044
251,saint-philippe,-21.3585,55.7679,24.77,82,98,4.0,RE,1680476044
252,luena,-11.7833,19.9167,18.1,94,100,3.09,AO,1680476044
253,alyangula,-13.8483,136.4192,28.81,64,86,3.6,AU,1680475853
254,esperance,-33.8667,121.9,18.24,75,69,3.1,AU,1680476045
255,wageningen,51.9667,5.6667,5.48,84,6,4.12,NL,1680476045
256,brebes,-6.8706,109.0369,25.03,85,100,2.35,ID,1680476045
257,faya,18.3851,42.4509,15.06,78,34,1.28,SA,1680476045
258,dinar,38.065,30.1656,7.98,91,100,3.77,TR,1680476046
259,yumen,40.2833,97.2,0.69,58,48,2.79,CN,1680476046
260,gwadar,25.1216,62.3254,23.74,64,9,4.39,PK,1680475525
261,san rafael,-34.6177,-68.3301,21.99,51,1,4.66,AR,1680476046
262,oranjestad,12.524,-70.027,26.97,81,40,10.29,AW,1680475880
263,nanortalik,60.1432,-45.2371,-1.05,92,100,2.88,GL,1680476047
264,lavrentiya,65.5833,-171.0,-14.36,72,25,0.43,RU,1680476047
265,husavik,66.0449,-17.3389,1.11,82,100,3.27,IS,1680475851
266,san patricio,28.017,-97.5169,31.2,60,100,8.02,US,1680475518
267,mikuni,36.2171,136.1519,6.95,73,3,4.95,JP,1680476047
268,xai-xai,-25.0519,33.6442,20.39,89,0,3.34,MZ,1680476048
269,mayumba,-3.432,10.6554,27.83,80,86,5.69,GA,1680475516
270,woodstock,43.1334,-80.7497,4.12,52,38,1.34,CA,1680475907
271,tahta,26.7693,31.5021,18.99,23,0,2.54,EG,1680475517
272,kavieng,-2.5744,150.7967,28.8,74,99,5.44,PG,1680476048
273,malatya,38.5,38.0,9.03,71,75,2.06,TR,1680476049
274,sola,-13.8833,167.55,28.27,75,94,5.57,VU,1680475867
275,dalton,34.7698,-84.9702,21.02,24,0,2.06,US,1680476049
276,thinadhoo,0.5333,72.9333,27.47,72,5,1.48,MV,1680476049
277,young,-32.6833,-57.6333,18.24,58,33,2.0,UY,1680476050
278,biltine,14.5333,20.9167,27.49,13,13,2.95,TD,1680476050
279,pingliang,35.5392,106.6861,2.41,88,100,6.96,CN,1680476050
280,iberia,29.9502,-91.7507,27.04,61,75,7.2,US,1680476051
281,derzhavinsk,51.1,66.3167,1.85,62,0,5.64,KZ,1680476051
282,hurghada,27.2574,33.8129,18.02,42,0,3.09,EG,1680475914
283,neuquen,-38.9516,-68.0591,19.94,49,0,0.0,AR,1680475777
284,fortuna,40.5982,-124.1573,9.43,79,100,2.45,US,1680476051
285,mizan teferi,6.9833,35.5833,17.95,62,45,1.68,ET,1680475513
286,tambura,5.6,27.4667,24.57,49,86,0.37,SS,1680476052
287,denpasar,-8.65,115.2167,25.81,100,40,3.09,ID,1680475484
288,susangerd,31.5608,48.1831,15.28,42,0,5.08,IR,1680476052
289,baruun-urt,46.6806,113.2792,-9.79,71,100,3.89,MN,1680475524
290,bubaque,11.2833,-15.8333,25.62,78,2,7.0,GW,1680476052
291,paris,48.8534,2.3488,7.27,87,100,5.14,FR,1680475507
292,tucuman,-26.8241,-65.2226,19.0,88,40,1.54,AR,1680476052
293,shingu,33.7333,135.9833,13.4,85,100,5.49,JP,1680476053
294,laguna,38.421,-121.4238,17.84,52,20,7.2,US,1680475544
295,tanout,14.9709,8.8879,24.0,7,39,4.12,NE,1680476053
296,langarud,37.197,50.1535,7.03,80,32,2.59,IR,1680476053
297,te anau,-45.4167,167.7167,11.77,61,32,0.94,NZ,1680476053
298,kannod,22.6667,76.7333,24.66,32,0,1.99,IN,1680476053
299,sitka,57.0531,-135.33,5.94,70,75,2.06,US,1680476001
300,rawson,-43.3002,-65.1023,15.55,62,23,8.09,AR,1680476054
301,calvia,39.5657,2.5062,13.28,61,3,2.2,ES,1680476054
302,syracuse,37.0881,15.2792,11.77,84,100,4.64,IT,1680475513
303,sibu,2.3,111.8167,22.17,100,40,1.54,MY,1680476054
